id,name,ann_count,label_valid,
143,Cyanobacteria films,62177,,
145,Sea cucumber,616,,
146,Cliona,4427,,
147,Encrusting sponge,22052,,
148,Erect sponge,678,,
149,Acropora florida,0,,
150,Isopora,9850,,
151,Lobophyton/Sinularia,7215,,
152,Astreopora-Turbinaria,0,,
153,Encrusting Montipora,507,,
154,Montipora stellata,11,,
155,Astreopora-Cyphastrea,11,,
156,Sarcophyton 1,0,,
157,Soft coral 1,0,discard?,
158,Soft coral 2,0,discard?,
159,Soft coral 3,0,discard?,
160,Soft coral 4,0,discard?,
161,Soft coral 5,0,discard?,
162,Soft coral 6,0,discard?,
163,Soft coral 7,0,discard?,
164,Diploastrea,1506,,
165,Platygyra 1,87,?,
166,Platygyra 2,0,?,
167,Acroporidae (table/corymbose/digitate),120158,,
168,Acroporidae (branching),480377,,
169,Acroporidae (plate/encrusting),205990,,
170,Pocilloporidae,125640,,
171,Poritidae massive,139352,,
172,Poritidae encrusting,23916,,
173,Poritidae branching,34528,,
174,Favidae-Mussidae massive/meandroid,133279,,
175,Other hard coral,27852,,
176,Alcyoniidae,142868,,
177,Other soft coral,74586,ambiguous,
178,Sea fans/plumes,21995,,
179,Other sessile invertebrates,55685,,
180,Mobile invertebrates,1,,
181,Macroalgae 1,43340,,
182,Dead Substrate,958204,,
183,Massive Sponge,11449,,
184,Coral,131842,ambiguous,
185,Stylophora,6815,,
186,Tabulate Acropora,0,,
187,Acropora (tabulate),17407,Might be duplicated of Acropora?,
188,Acropora corymbose,0,Might be duplicated of Acropora?,
189,Seriatopora,1025,,
190,Coscinaraea,1396,,
191,Fungiidae,590,,
192,Echinophyllia,836,,
193,Oxypora,325,,
194,Mycedium,757,,
195,Pectiniid - Unidentified Plating,102,?,
196,Pectinia,36,,
197,Scolymia,6,,
198,Faviid - Unidentified,3,?,
199,Turbinaria (coral),3582,,
200,Symphyllia,275,,
201,Merulina,2157,,
202,Bleached Acropora tabulate,325,,merge?
203,Bleached Acropora branching,847,,
204,Acropora (branching),54143,,
205,Bleached Acropora corymbose,33,,
206,Bleached Astreopora,219,,
207,Bleached Coscinarea,16,,
208,Bleached Cyphastrea,1437,,
209,Bleached Merulina,9,,
210,Bleached Echinophyllia,9,,
211,Bleached Echinopora,611,,
212,Bleached Montipora,7914,,
213,Bleached Mycedium,1,,
214,Bleached Pectinia,0,,
215,Bleached Pectinia - unidentified plating,6,,
216,Bleached Porites,5920,,
217,Bleached Psammocora,37,,
218,Asparagopsis,1080,,
219,Sarcomenia,255,,
220,Codium,2310,,
221,Acropora (corymbose),3654,Might be duplicated of Acropora?,
222,Shadow,305688,,
224,Bleached Goniopora,39,,
225,Cnidaria,4,,
226,Bryzoa,552,,
227,Ascidians,1951,,
228,Echinoderms,323,,
229,Molluscs,273,,
230,Crustacea,14,,
231,Worms,305,,
232,Brachopods,0,,
233,Bacterial mats,4475,,
234,Corals: Stony corals,180,,merge?
235,Corals: Stony corals: Tabulate,963,,
236,Corals: Stony corals: Sub-massive,3445,,
237,Hard Coral (massive),114920,,
238,Corals: Stony corals: Foliose,583,,
239,Corals: Stony corals: Encrusting,10907,,
240,Corals: Stony corals: Digitate,372,,
241,Corals: Stony corals: Corymbose,239,,
242,Hard Coral (branching),32754,,
243,Corals: Stony corals: Solitary / mushroom,113,,
244,Corals: Stony corals: Solitary / mushroom: Fr,0,,
245,Corals: Stony corals: Solitary / mushroom: At,0,,
246,Corals: Black & Octocorals: Whip,75,,merge?
247,Corals: Black & Octocorals: Fan(2D),6,,
248,Corals: Black & Octocorals: Fan (2D): Rigid,10,,
249,Black/Octocorals: Fan(2D) Fern-frond,0,,
250,Black/Octocorals: Fan(2D) Fern-frond: simple,0,,
251,Black/Octocorals: Fan(2D) Fern-frond: complex,2,,
252,Corals: Black & Octocorals: Encrusting,340,,
253,Black/Octocorals: branching (3D),4,,
254,Black/Octocorals: branching (3D): non-fleshy,0,,
255,Black/Octocorals (3D): non-fleshy: Bushy,805,,
256,Black/Octocorals (3D): nfleshy:Bottle-brush,0,,
257,Black/Octocorals (3D): nfleshy:Bottle-brushS,6,,
258,Black/Octocorals (3D): nfleshy:Bottle-brushC,10,,
259,Black/Octocorals (3D): nfleshy: arborescent,72,,
260,Black/Octocorals (3D): fleshy,1,,
261,Black/Octocorals (3D): fleshy: mushroom,0,,
262,Black/Octocorals (3D): fleshy: arborescent,5,,
263,Tube anemones,0,,
264,anemones: Fourlobed,0,,
265,anemones: Flytrap,0,,
266,Hydroids,901,,
267,Hydrocorals,17,,
268,colonial anemones,3736,,
269,colonial anemones corallimorphs,29,,
270,Sponges: Massive forms: Latticework,2,,merge?
271,Sponges: Massive forms: Larger holes,0,,
272,Sponges: Massive forms: Round,344,,
273,Sponges: Massive forms: Volcano,0,,
274,Sponges: Massive forms: Mound,488,,
275,Sponges: Massive forms: Cushion,0,,
276,Sponges: Massive forms: Ridge,10,,
277,Sponges: Massive forms: Fig,0,,
278,Sponges: Massive forms: Egg,0,,
279,Sponges: Massive forms: Irregular,78,,
280,Sponges: Massive forms: Simple,995,,
281,Sponges: Massive forms: Barrels,240,,
282,Sponges: Massive forms:Cryptic,40,,
283,Sponges: Massive forms: stalked,17,,
284,Sponges: Hollow forms,248,,
285,Sponges: Hollow forms : Cups and alikes,9,,
286,Sponges: Hollow forms :Tubes and chimneys,16,,
287,Sponges: Erect forms,217,,
288,Sponges: Erect forms:  Branching,19,,
289,Sponges: Erect forms:   Laminar,18,,
290,Sponges: Erect forms: Palmate,0,,
291,Sponges: Erect forms: Simple,133,,
292,Sponges:crusts,33914,,
293,Sponges:crusts: Creeping / ramose,5,,
294,Macroalgae: Sheet-like / membraneous,217,,merge?
295,Macroalgae: Sheet-like / membraneous: green,47,,
296,Macroalgae: Sheet-like / membraneous: red,19,,
297,Macroalgae: Sheet-like / membraneous: brown,350,,
298,Macroalgae: Large canopy-forming,6714,,
299,Macroalgae: Large canopy-forming : brown,522,,
300,Macroalgae: Large canopy-forming : Ecklonia,51177,,
301,Macroalgae: Laminate,2296,,
302,Macroalgae: Laminate: green,316,,
303,Macroalgae: Laminate: red,39,,
304,Macroalgae: Laminate: brown,9108,,
305,Macroalgae: Globose / saccate,95,,
306,Macroalgae: Globose / saccate brown,35,,
307,Macroalgae: Globose / saccate red,0,,
308,Macroalgae: Globose / saccate green,112,,
309,Macroalgae: Filamentous / filiform,1534,,
310,Macroalgae: Filamentous / filiform : red,40373,,
311,Macroalgae: Filamentous / filiform : green,6583,,
312,Macroalgae: Filamentous / filiform : brown,65431,,
313,Macroalgae: Erect fine branching,726,,
314,Macroalgae: Erect fine branching red,2401,,
315,Macroalgae: Erect fine branching green,125,,
316,Macroalgae: Erect fine branching brown,250,,
317,Macroalgae: Erect coarse branching,1911,,
318,Macroalgae: Erect coarse branching green,557,,
319,Macroalgae: Erect coarse branching brown,4590,,
320,Macroalgae: Erect coarse branching red,401,,
321,Macroalgae: Encrusting,8338,,
322,Macroalgae: Encrusting: red,68323,,
323,Macroalgae: Encrusting: green,10443,,
324,Macroalgae: Encrusting: brown,3759,,
325,Macroalgae: Articulated calcareous,3594,,
326,Macroalgae: Articulated calcareous: red,15095,,
327,Macroalgae: Articulated calcareous: green,94,,
328,Bryozoa: Soft,135,,merge?
329,Bryozoa: Soft: dendroid,401,,
330,Bryozoa: Soft: Foliaceous,47,,
331,Bryozoa: hard,36,,
332,Bryozoa: hard: massive,0,,
333,Bryozoa: hard: fenestrate,82,,
334,Bryozoa: hard: encrusting,133,,
335,Bryozoa: hard: branching,91,,
336,Ascidians: Unstalked,502,,merge?
337,Ascidians: Unstalked: Solitary,658,,
338,Ascidians: Unstalked: Colonial,1074,,
339,Ascidians: stalked:,13,,
340,Ascidians: stalked: Solitary,18,,
341,Ascidians: stalked:Colonial,33,,
342,Echinoderms: sea urchin,3594,,merge?
343,Echinoderms: sea urchin: regular urchins,2699,,
344,Echinoderms: Sea stars,158,,
345,Sea cucumbers: Pelagic / swimming,0,,merge?
346,Sea cucumbers:Benthic,18,,
347,Echinoderms: Ophiuroids,22,,
348,Echinoderms: Ophiuroids: Basket stars,0,,
349,Echinoderms: Ophiuroids:Brittle / snake stars,920,,
350,Echinoderms: Feather stars,5,,
351,Echinoderms: Feather stars:Unstalked crinoids,64,,
352,Echinoderms: Feather stars: stalked crinoids,1,,
353,Molluscs: Gastropods,184,,
354,Molluscs: Chitons,4,,
356,Echinoderms: Sea urchins: Irregular urchins,1,,
357,Crustacea: Barnacles,1420,,
358,Crustacea: Barnacles: Stalked,2,,
359,Crustacea: Barnacles: Acorn,125,,
360,Worms: Polychaetes,1205,,merge?
361,Worms: Polychaetes: Tube worms,750,,
362,Worms: Polychaetes: other polychaetes,0,,
363,Worms: Penisworms,0,,
364,Worms: Echiura,0,,
365,worms: Sipuncula,0,,
366,worms: Flatworms,0,,
367,worms: Acorn worms,0,,
368,Substrate: Unconsolidated (soft): sand/mud,17947,,merge?
369,Substrate: Unconsolidated : pebble/gravel,20754,,
370,Substrate: Consolidated (hard) Rock,18978,,
371,Substrate: Consolidated (hard) Cobbles,100,,
372,Substrate: Consolidated (hard) Boulders,21989,,
373,Encrusting biota unknow,206,ambiguous,
374,Branching biota unknow,1133,ambiguous,
375,Massive biota unknow,342,ambiguous,
376,Acervicornis,1402,,
377,Agaricia/Undaria,6852,,
378,Cnatans,2212,,
379,Dstokesi,486,,
380,Dcylindrus,864,,
381,Dlabyrinthiformis,17905,,
382,Eusmilia fastigiata,622,,
383,Ffragum,8,,
384,Hcucullata,29,,
385,Isophyllia,41,,
386,Mareolata,9,,
387,Madracis,1184,,
388,Meandrina,1243,,
389,Mangulosa,0,,
390,Mycetophyllia,529,,
391,Odiffusa,18,,
392,Ocomplex,25023,,
393,Pastreoides,5261,,
394,Pporites,4886,,
395,Pseudodiploria,19065,,
396,Solenastrea,20,,
397,Sintersepta,158,,
398,Utenuifolia,5444,,
399,Encrusting gorgonians,0,,merge?
400,Encrusting gorgonian,1735,,
401,Dictyota,24564,,
402,Lvariegata,6514,,
403,Halimeda,79645,,
404,Algae matrix,58952,,
405,Gneptuni,417,,
406,Aarcheri,243,,
407,Afistularis,686,,
408,Ircinia_massive,4742,,
409,Xmuta,3810,,
410,Cvirdis_complex,5502,,
411,Cdelitrix,919,,
412,Cvaginalis,1012,,
413,Cplicifera,1007,,
414,Atubulata,541,,
415,Acompresa,1200,,
416,Erect gorgonians,11741,,
417,Cirrhipathes sp.,40,,
418,Neomeris sp,11,,
419,Palythoa sp,229,,
420,Pocillopora ligulata,36,,
421,Stichopathes sp.,2,,
422,Dictyospaeria sp.,19,,
423,Caulerpa,12438,,
424,Chrysocystis fragilis,281,,
425,Cladophora sp.,3689,,
426,Gibsmithia sp,27,,
427,Acanthophora spicifera,3468,,
428,Padina sp,18913,,
429,Sargassum sp,49666,,
430,Stypopodium sp.,1304,,
431,Tolypiocladia glomerulata,1634,,
432,Avrainvillea sp.,410,,
433,Ventricaria sp.,54,,
434,Gracilaria salicornia,7483,,
435,Turbinaria (algae),26738,,
436,Hypnea musciformis,90,,
437,Kappaphycus sp.,1536,,
438,Montipora capitata,98908,Might be duplicated of Montipora?,
439,Montipora flabellata,2143,might be duplicated of Montipora?,
440,Montipora patula,23436,might be duplicated of Montipora?,
441,Pavona duerdeni,2130,duplicate?,
442,Pavona varians,6030,,
443,Porites brighami,111,duplicate?,
444,Porites compressa,321206,,
445,Porites duerdeni,143,,
446,Porites evermanni,9661,,
447,Porites monticulosa,1517,,
448,Pocillopora damicornis,9205,duplicate?,
449,Pocillopora eydouxi,8161,,
450,Pocillopora meandrina,20277,,
451,Unidentified Red,1837,ambiguous,
452,Microdictyon sp.,4366,,
453,Leptolyngbya sp.,14,,
454,Stenopeltis sp.,2,,
455,Wall,24,,
456,Hydroid,4420,,
457,Ocomplex bleached,1303,,
458,Pseudodiploria bleached,7130,,
459,Millepora bleached,793,,
460,Fish,3917,,
461,Water,15238,,
462,Mat tunicate,383,,
463,Turf sand,114780,,
465,Dictyopteris,754,,
466,Halymenia floridana,221,,
467,Solieria filiformis,11479,,
468,Leptogorgia punicea,71,,
469,Leptogorgia virgulata,81,,
470,Murica pendula,15,,
471,Occulina spp.,0,,
472,Paracyathus pulchellus_Phyllangia americana,298,,
473,Occulina sp.,17874,,
474,Siderastrea spp.,18484,,
475,Solenastrea hyades,191,,
476,Aplysina fulva,57,,
477,Clathria prolifera,5,,
478,Desmapsamma anchorata,35,,
479,Dysidea fragilis,25,,
480,Ircinia campana,538,,
481,Leptogorgia hebes,513,,
482,Spirastrella sp.,184,,
483,Telesto sp.,8936,,
484,Titanideum frauenfeldii,3226,,
485,Thesea nivea,2335,,
486,Yellow digits,311,,
487,Aplidium sp.,232,,
488,Botrylloides sp.,239,,
489,Chondrosia_Didemnum,433,,
490,Ditaplia bermudensis,20,,
491,Euherdmania gigantea,80,,
492,Schizoporella floridana,222,,
493,Stomozoa roseola,74,,
494,Stylea plicata_Molgula occidentalis,33,,
495,Symplegma sp.,248,,
496,Amathia sp.,946,,
497,Arbacia punculata,701,,
498,Diadema antillarum,81,,
499,Echinometra lucunter,22,,
500,Schizoporella cornuta,80,,
501,Dictyopteris hoytii,4519,,
502,Dictyopteris membranacea,1868,,
503,Dictyota spp.,160046,,
504,Lobophora variegata,14961,,
505,Zonaria tournefortii,7075,,
506,Amphiroa beauvoisii,1379,,
507,Avrainvillea longicaulis,15,,
508,Caulerpa racemosa,196,,
509,Cladophora prolifera,941,,
510,Codium carolineaum,63,,
511,Codium fragile,764,,
512,Colpomenia sinuosa,539,,
513,Udotea cyathiformis,25,,
514,Wreck,3774,,
515,Rock,264129,,
516,Fuzz,134057,,
517,Unknown Hydroid,1715,ambiguous,
518,Unknown Bryozoan,47,ambiguous,
519,Unidentified Brown,2697,ambiguous,
520,Red Strap/Filamentous Algae,2826,,
521,Unidentified Green Algae,2285,ambiguous,
522,Red Turf,99869,,
523,Shell/ Shell Hash,34877,,
524,Rock Rubble,236131,,
525,Encrusting Bryozoan,1696,,
526,Encrusting sponge/ tunicate,9108,,
527,Unidentified Hard Coral,4577,ambiguous,
528,Astrangia sp.,0,,
529,Upright sponge,652,,
530,Gracilaria mammalaris,0,,
532,Peyssonnelia,43420,,
533,No Data,12794,?,
534,Eucheuma isiforme,39,,
535,Black crust,243,,
537,Nudibranch species,11,,
538,Halymenia elongata,87,,
539,Halymenia trigona,63,,
540,Chondria species,22,,
541,Botrycladia occidentalis,519,,
542,Unknown Tunicate,571,ambiguous,
543,Gracilaria/Rhodymenia,3184,,
544,Gracelaria blodgettii,22,,
545,Halymenia floresia,80,,
546,Palisada coralopsis,93,,
547,Chrysemenia enteromorpha,15,,
548,Sea Spider,2,,
549,Hydroid/Bryozoan,34433,,
550,Anoplodactylus species,47,,
551,Unknown Sponge/Tunicate,1407,,
552,Gooey Red Algae,245,,
553,Mithraculus forceps,3,,
554,Hydnophora,7045,,
555,Porites bernardi,36,,
556,Soft Coral plumes,16115,ambiguous,
557,Serpulidae worm,2474,,
558,Clear algae?,64,?,
559,Shallow Orange,130,,
560,Compressa Orange,222,,
561,Bright Orange Crust,234,,
562,Dichotomaria,1,,
563,Golden Algae,82,,
564,Blue-Green Algae,662,,
565,Niphates digitalis,438,,
566,Agarum fimbriatum,7681,,
567,Balanus crenatus,18739,,
568,Boltenia villosa,17,,
569,Callophyllis spp.,1529,,
570,Chondracanthus exasperatus,22515,,
571,Cnemidocarpa finmarkiensis,63,,
572,Costaria costata,0,,
573,Didemnum carnulentum,1206,,
574,Halocynthia igaboja,45,,
575,Saccharina latissima,15,,
576,Metridium farcimen,19145,,
577,Pododesmus macrochisma,887,,
578,Plocamium cartilagineum,13656,,
579,Polyneura latissima,26671,,
580,Psolus chitonodes,749,,
581,Sarcodiotheca gaudichaudii,163,,
582,Spirorbid worms,5842,,
583,Thelepus crispus,17,,
584,Ulva sp.,36391,,
585,Terebratalia transversa,2826,,
586,Jointed Calcareous Algae,220,,
587,Cryptopleura ruprechtiana,4073,,
588,Unspecified red algae: Sheet: Thin/Membranous,9791,,
589,Unspecified red algae: Sheet: Thick/Leathery,13909,?,
590,Unspecified red algae: Branching: Fine/Thin,2373,?,
591,Unspecified red algae: Branching: Thick,4641,?,
592,Branching Gorgonian,95775,,
593,Pinnigorgia,9,,
594,Physogyra,25,,
595,Encrusting Hard Coral,11485,,
596,Algal Film,406,,
597,Red ALgae,1820,,
598,Terebratalia unguicula,35,,
599,Pocillopora verrucosa,634,,
600,Acropora (arborescent),1706,duplicate?,
601,Acropora (hispidose),50,,
602,Acropora (digitate),6716,,
603,Acropora (arborescent table),1108,duplicate?,
604,Acropora Club Shaped,0,,
605,Acropora (encrusting),315,,
606,Acropora Plating,686,,
607,Caulastrea,31,,
608,Ctenactis,54,,
609,Plerogyra,459,,
610,Euphyllia,1675,,
611,Astreopora (encrusting),109,duplicate?,
612,Astreopora Plate Like,23,,
613,Astreopora (massive),26,,
614,Montipora Laminar with Ridges,103,duplicate?,
615,Montipora Laminar without Ridges,140,,
616,Montipora Encrusting/Massive tuberculae,22,,
617,Montipora small corallites,1,,
618,Montipora funnel corallites,0,,
619,Montipora with verrucae,0,,
620,Montipora branching,41,,
621,Montipora encrusting,3543,,
622,Porites PLating,23792,,
623,Leptoria,2202,,
624,Halomitra,95,,
625,Sediment Covered Limestone,161407,,
626,PLATE,3061,,
627,Acropora (submassive),49,,
628,Non-Acropora branching,2474,,
629,Non-Acropora encrusting,6662,,
630,Non-Acropora foliose,5034,,
631,Non-Acropora massive,17182,,
632,Non-Acropora submassive,435,,
633,Heliopora,3984,,
634,Tubipora musica,67,,
635,Dead coral with algae,25861,,
636,Algal Assemblage,4342,,
637,Tridacna: Giant clam,1205,,
638,Trash,986,discard?,
639,Ceratostoma foliatum,0,,
640,Desmarestia sp.,631,,
641,Microalgae: cyanobacteria,12491,,
642,Filamentous Algae,19096,,
643,Foliose Algae,16,,
644,Corticated Foliose Algae,2,,
645,Corticated Macrophytes,8,,
646,Leathery Macrophytes,0,,
647,Articulate Calcareous Algae (ACA),86,,
648,Crustose Algae,2937,,
649,axinella polypoides,738,,
650,calyx nicaeensis,140,,
651,ircinia oros,1205,,
652,Axinella vaselety,16,,
653,spongia nitens,181,,
654,striphnus,18,,
655,Agelas,4428,,
656,Axinella demicornis,94,,
657,raspailia,2,,
658,parazoantus axinella,19,,
659,dictyonella,6,,
660,Chondrosia reniphormis,3098,,
661,orenge tube,73,,
662,pink blob,17,,
663,Red sponge,603,,
664,Red sponge encrasting,92,duplicate?,
665,yellow sponge encrasting,171,,
666,oreng sponge encrasting,183,,
667,pink sponge encrasting,4,,
668,whait sponge encrasting,18,,
669,yewllo sponge tube,5,,
670,yellow sponge,432,,
671,axinella ps1,35,duplicate?,
672,axinella ps2,30,,
673,axinella ps3,10,,
674,dragon yeloow,0,,
675,orange amorphous,59,,
676,parazoantos axinella,0,,
677,petrozia,0,,
678,pink amorphous,18,,
679,pink bryozoa/sponge,0,,
680,unknown whait,24,,
681,yellow net,624,,
682,haliclona sp,48,,
683,sarcotragus,578,,
684,black sponge,351,,
685,broun sponge,2,,
686,Abietinaria spp.,4912,,
687,Unidentified algae,5434,ambiguous,
688,Aplidium solidum,2,,
689,Aphrocallistes vastus,0,,
690,Ascidia paratropa,0,,
691,Balanophyllia elegans,742,,
692,Balanus nubilis,1624,,
693,Chelyosoma,145,,
694,Clavularia spp.,54,,
695,Cliona californiana,655,,
696,Erect Rhodphyta,4910,,
697,Bleached Diploria labyrinthiformes,1248,,
698,wait coral,117,,
699,wait sponge small,11,discard?,
700,wait sponge round,8,discard?,
701,octopus,0,,
702,Clavelina huntsmani,0,,
703,Corella,0,,
704,Craniella (unidentified species),3,discard?,
705,Crassadoma gigantea,4,,
706,Cribrinopsis fernaldi,0,,
707,Crisia spp.,110,,
708,Cystodytes lobatus,1068,,
709,Dendrobeania lichenoides,6,,
710,Desmarestia munda,7,,
711,Desmarestia viridis,1106,,
712,Diaperoecia californica,3344,,
713,Distaplia occidentalis,24,,
714,Didemnum tridemnum,38,,
715,Dodecaceria concharum,3399,,
716,Encrusting alga maroon,1,,
717,Epizoanthus scotinus,1,,
718,Erect coralline red algae,542,,
719,Eudistoma purpuropunctatum,1,,
720,Fucus distichus,1179,,
721,Gloiocladia laciniata,13,,
722,Eurystomella bilabiata,3655,,
723,Heteropora pacifica,154,,
724,Leucilla nuttingi,0,,
725,Leucosolenia spp.,75,,
726,Membranipora serrilamella,2,,
727,Metandrocarpa taylori,3855,,
728,Myxicola infundibulum,4,,
729,Nereocystis luetkeana,4,,
730,Opuntiella californica,217,,
731,Perophora annectens,1,,
732,Phidolopora pacifica,1,,
733,Pterygophora californica,1,,
734,Pyura haustor,28,,
735,Pycnoclavella stanleyi,89,,
736,Saccharina bongardiana,3,,
738,Serpulid worms,718,,
739,Spiochaetopterus costarum,0,,
740,Styela clava,42,,
741,Stenogramme interrupta,10,,
742,Stylissa stipitata,0,,
743,Stylantheca sp,0,,
744,Suberites montiniger,0,,
745,Synoicum parfustis,0,,
746,Sycon spp.,2,,
747,tag/frame/zspar etc,10435,,
750,Tunicate solitary unidentified,55,,
751,Unidentified tube builders,39,,
753,Urticina columbiana,0,,
754,Urticina crassicornis,4,,
755,Laminaria complanata,0,,
756,Kelp (unidentifed Laminariales),775,,
757,Hydroid species,2831,,
759,Outside frame canopy organism,0,,
760,Galaxea,2457,,
762,Bleached Platygyra ryukyuensis,4664,,
763,Platygyra ryukyuensis 1,5248,,
764,Totally bleached Platygyra ryukyuensis,3728,,
765,Totally bleached Porites cylindrica,877,,
766,Bleached Porites cylindrica,2306,,
769,Bleached Stylophora pistillata (total),266,,
770,Bleached Stylophora pistillata,3076,,
771,Bleached Seratiopora hystrix,4387,,
772,Totally bleached Seratiopora hystrix,3414,,
773,Totally bleached Fungia sp.,1969,,
774,Bleached Fungia sp.,5240,,
775,Totally bleached Montipora sp.,3887,,
776,Totally bleached Lobophyllia sp.,2002,,
777,Bleached Lobophyllia sp.,1685,,
778,Bleached Sarcophyton,16,,
780,Chlorodesmis sp.,13750,,
781,Artificial material of experimental setup,59809,,
782,Stylophora pistillata,7007,,
783,Seratiopora hystrix,6386,,
784,Totally bleached Acropora formosa 1,3638,,
785,Bleached Xenia,0,,
786,Bleached Acropora formosa.,5861,,
787,Montipora Nonencrusting,0,,
788,Porites non-massive,24,,
789,Columnar Hard Corals,0,,
790,Non-Scleractinian Hard Corals,8,,
791,CCA growing on hard substrate,6077,duplicate?,
792,CCA growing on rubble,2885,duplicate?,
793,Turf growing on hard substrate,144799,duplicate?,
794,Mycale laevis,90,,
795,Vase sponge,2383,,
796,laurenciella marilzae,3080,,
797,Sargassum muticum,0,,
799,Ophlitaspongia pennata,210,,
800,Psolidium bidiscum,23,,
801,Substrate: Unconsolidated: Sand/Mud (<2mm),337408,ambiguous,
802,Seagrasses: Elliptical Leaves,677,duplicate?,
803,Seagrasses: Strap-like leaves,70,duplicate?,
804,Acroporidae (hispidose),3198,,
805,Cladocora caespitosa,6,,
806,Worms: Filograna implexa,0,,
807,Worms Filograna implexa,88,,
808,Aglaophenia trifida,710,,
809,Cymodocea serrulata,0,,
810,Zostera capricorni,202,,
811,Halophila ovalis,293,,
812,muddy sand,48,,
813,sandy mud,1317,,
814,oceanic sand,34651,,
815,mud,105,,
816,unidentified invertebrate hole,1,,
817,Plakortis,305,,
818,Lafoea dumosa,15,,
819,Ircinia felix,11,,
820,Acrosiphonia spp.,0,,
821,Dermasterias imbricata,0,,
822,Eupentacta quinquesemita,0,,
823,Evasterias troschelii,0,,
824,Gorgonocephalus eucnemis,0,,
825,Henricia spp.,0,,
826,Leptasterias spp.,0,,
827,Mediaster aequalis,0,,
828,Ophiuroids,2,,
829,Orthasterias koehleri,0,,
830,Parastichopus californicus,0,,
831,Pisaster brevispinus,0,,
832,Pseudocnus lubricus,0,,
833,Pteraster militaris,0,,
834,Pteraster tesselatus,0,,
835,Pycnopodia helianthoides,0,,
836,S. droebachiensis,287,,
837,S. franciscanus,0,,
838,S. purpuratus,0,,
839,orange sponge round,8,,
840,Solaster dawsoni,0,,
841,Solaster endeca,0,,
842,Solaster stimpsoni,0,,
843,Acanthodoris hudsoni,0,,
844,Acanthodoris nanaimoensis,0,,
845,Aldisa cooperi,0,,
846,Amphissa columbiana,0,,
847,Astyris gausapata,0,,
848,Bittium eschrichtii,0,,
849,Boreotrophon multicostatus,0,,
850,Cadlina luteomarginata,0,,
851,Calliostoma annulatum,0,,
852,Calliostoma ligatum,0,,
853,Chlamys hastata,97,,
854,Cranopsis cucullata,0,,
855,Cranopsis multistriata,0,,
856,Crepidula spp.,0,,
857,Cryptochiton stelleri,0,,
858,Dendronotus albus,0,,
859,Dendronotus dalli,0,,
860,Diodora aspera,0,,
861,Dirona albolineata,0,,
862,Dirona pellucida,0,,
863,Doris odhneri,0,,
864,Doris montereyensis,0,,
865,Enteroctopus dofleini,0,,
866,Flabellina sp.,0,,
867,Flabellina trilineata,0,,
868,Flabellina trophina,0,,
869,Flabellina verrucosa,0,,
870,Fusitriton oregonensis,0,,
871,Aiolochroia crassa,1027,,
872,Geitodoris heathi,0,,
873,Granulina margaritula,0,,
874,Haliotis kamtschatkana,0,,
875,Hermissenda crassicornis,0,,
